Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
10162,Alexandre Parodi - Quai de Valmy,OUI,24,14,5,0,5,OUI,OUI,2024-01-26T18:44:26+01:00,"48.87935941942529, 2.366596162319184",Paris,
6001,Institut de France,OUI,17,4,11,6,5,OUI,OUI,2024-01-26T18:44:20+01:00,"48.857615678565, 2.3358313530377",Paris,
41303,Gare de Nogent-le-Perreux,OUI,32,9,20,11,9,OUI,OUI,2024-01-26T18:43:20+01:00,"48.83842553348809, 2.493693307042122",Nogent-sur-Marne,
31706,Château - République,OUI,26,19,5,3,2,OUI,OUI,2024-01-26T18:44:54+01:00,"48.862923800596, 2.4155035614967",Bagnolet,
7018,Ségur - d'Estrées,OUI,19,15,3,1,2,OUI,OUI,2024-01-26T18:44:38+01:00,"48.851419978983, 2.3097044974566",Paris,
5020,Institut du Monde Arabe - Saint-Germain,OUI,40,6,31,20,11,OUI,OUI,2024-01-26T18:44:57+01:00,"48.849063299501, 2.3558086529374",Paris,
5022,Boulangers - Cardinal Lemoine,OUI,20,15,3,1,2,OUI,OUI,2024-01-26T18:39:48+01:00,"48.8462904, 2.3521495",Paris,
19015,Thionville - Ourcq,OUI,24,7,14,7,7,OUI,OUI,2024-01-26T18:44:53+01:00,"48.88917613743794, 2.3833653330802917",Paris,
9106,Boudreau - Auber,OUI,14,4,10,2,8,OUI,OUI,2024-01-26T18:42:31+01:00,"48.87219, 2.329423",Paris,
9022,Rossini - Laffitte,OUI,33,27,4,3,1,OUI,OUI,2024-01-26T18:43:17+01:00,"48.87334627510507, 2.337980867701675",Paris,
8201,Arsène Houssaye - Friedland,OUI,29,29,0,0,0,OUI,OUI,2024-01-26T18:40:43+01:00,"48.874510616163, 2.2994716674148",Paris,
26003,Argenteuil - Voltaire,OUI,16,2,10,4,6,OUI,OUI,2024-01-26T18:37:19+01:00,"48.91864865955558, 2.2814112156629562",Asnières-sur-Seine,
9038,Douai - Bruxelles,OUI,27,21,6,2,4,OUI,OUI,2024-01-26T18:44:42+01:00,"48.88320784122797, 2.3308449949028507",Paris,
17004,Legendre - Clichy,OUI,40,35,1,1,0,OUI,OUI,2024-01-26T18:44:45+01:00,"48.88896161855884, 2.322528975094376",Paris,
1001,Quai de l'Horloge - Pont Neuf,OUI,17,8,7,4,3,OUI,OUI,2024-01-26T18:42:30+01:00,"48.857058739111, 2.3417982839439",Paris,
9028,Moncey - Blanche,OUI,17,8,6,2,4,OUI,OUI,2024-01-26T18:44:55+01:00,"48.88006587474148, 2.3310810327529907",Paris,
19105,Ambroise Rendu - Porte Brunet,OUI,17,14,3,0,3,OUI,OUI,2024-01-26T18:43:57+01:00,"48.883667, 2.395733",Paris,
10107,Gare du Nord - Hôpital Lariboisière,OUI,49,42,5,2,3,OUI,OUI,2024-01-26T18:43:57+01:00,"48.881949, 2.352339",Paris,
22409,Henri Barbusse - Stalingrad,OUI,16,13,1,0,1,OUI,OUI,2024-01-26T18:43:11+01:00,"48.814183748660554, 2.2872862592339516",Malakoff,
19026,Place de Rhin et Danube,OUI,17,14,3,1,2,OUI,OUI,2024-01-26T18:44:35+01:00,"48.88192765861766, 2.392586767673493",Paris,
19003,Quai de la Seine,OUI,24,14,8,3,5,OUI,OUI,2024-01-26T18:44:37+01:00,"48.884492238407525, 2.3703941702842717",Paris,
12111,Claude Decaen - Cannebière,OUI,27,9,16,7,9,OUI,OUI,2024-01-26T18:44:04+01:00,"48.83761417037952, 2.397253782195704",Paris,
8036,Lisbonne - Monceau,OUI,33,28,5,0,5,OUI,OUI,2024-01-26T18:36:25+01:00,"48.87745567681383, 2.309694221419506",Paris,
11047,Amelot - Saint-Sébastien,OUI,30,0,26,17,9,OUI,OUI,2024-01-26T18:43:54+01:00,"48.861142162761, 2.3677996181077",Paris,
12151,Gare de Lyon - Place Louis Armand,OUI,60,3,49,23,26,OUI,OUI,2024-01-26T18:44:52+01:00,"48.845515089794, 2.3726498446286",Paris,
19043,Delphine Seyrig - Général Leclerc,OUI,53,36,13,4,9,OUI,OUI,2024-01-26T18:40:34+01:00,"48.893923963057865, 2.39790290594101",Pantin,
18107,Chartres - La Charbonnière,OUI,34,33,1,0,1,OUI,OUI,2024-01-26T18:44:57+01:00,"48.8847601, 2.3534657",Paris,
20042,Pyrénées - Emmery,OUI,40,37,2,0,2,OUI,OUI,2024-01-26T18:41:23+01:00,"48.872010281270974, 2.392039597034455",Paris,
92007,Pesaro - Préfecture,OUI,22,19,3,1,2,OUI,OUI,2024-01-26T18:40:05+01:00,"48.89577046284005, 2.223908342421055",Nanterre,
17030,Pereire - Rennequin,OUI,23,11,8,5,3,OUI,OUI,2024-01-26T18:43:33+01:00,"48.88364782887555, 2.2952447086572647",Paris,
16026,Ranelagh - Mozart,OUI,23,17,3,1,2,OUI,OUI,2024-01-26T18:41:07+01:00,"48.8554439, 2.2704418",Paris,
12128,Pyramide - Ecole du Breuil,OUI,34,31,3,0,3,OUI,OUI,2024-01-26T18:37:42+01:00,"48.82237977153955, 2.4586871266365056",Paris,
26002,Redoute - Les Courtilles,OUI,40,8,25,21,4,OUI,OUI,2024-01-26T18:42:47+01:00,"48.929867194519, 2.2836696356535",Asnières-sur-Seine,
31022,Mairie de Montreuil,OUI,52,46,3,1,2,OUI,OUI,2024-01-26T18:44:44+01:00,"48.86131452758348, 2.440614402294159",Montreuil,
17043,Belidor - Gouvion-Saint-Cyr,OUI,39,28,10,8,2,OUI,OUI,2024-01-26T18:42:28+01:00,"48.88022154052015, 2.2854680567979813",Paris,
19101,Square Simon Bolivar,OUI,24,17,4,0,4,OUI,OUI,2024-01-26T18:44:25+01:00,"48.8750898883217, 2.3826304078102116",Paris,
16039,Exelmans - Versailles,OUI,49,29,17,10,7,OUI,OUI,2024-01-26T18:44:33+01:00,"48.84097491091973, 2.264390252530575",Paris,
14003,Schoelcher - Raspail,OUI,50,46,1,0,1,OUI,OUI,2024-01-26T18:44:53+01:00,"48.83681733526843, 2.3312794080411474",Paris,
11023,Saint-Maur - Roquette,OUI,46,22,23,13,10,OUI,OUI,2024-01-26T18:43:15+01:00,"48.858688774062955, 2.383553994571467",Paris,
11113,Richard Lenoir - Republique,OUI,58,28,27,17,10,OUI,OUI,2024-01-26T18:44:54+01:00,"48.8667175, 2.3692541",Paris,
45003,11 Novembre 1918 - 8 Mai 1945,OUI,36,31,5,2,3,OUI,OUI,2024-01-26T18:43:36+01:00,"48.80889533774377, 2.5382421165704727",Champigny-sur-Marne,
14020,Cimetière de Montrouge,OUI,58,48,9,5,4,OUI,OUI,2024-01-26T18:39:35+01:00,"48.821466904768, 2.3215785772007",Paris,
11002,Roquette - Thiéré,OUI,23,1,19,14,5,OUI,OUI,2024-01-26T18:44:09+01:00,"48.85507930579506, 2.3733686318721463",Paris,
33017,Anatole France - President Roosevelt,OUI,29,15,12,4,8,OUI,OUI,2024-01-26T18:44:22+01:00,"48.9155156, 2.3814103",Aubervilliers,
8034,Berri - Haussmann,OUI,35,29,3,1,2,OUI,OUI,2024-01-26T18:44:39+01:00,"48.874746047357135, 2.3082953318953514",Paris,
15042,Henry Farman,OUI,16,2,14,11,3,OUI,OUI,2024-01-26T18:42:11+01:00,"48.83372430280548, 2.2713854536414146",Paris,
5032,Panthéon - Valette,OUI,39,33,4,0,4,OUI,OUI,2024-01-26T18:44:38+01:00,"48.84702057165222, 2.3464982619671075",Paris,
20112,Jourdain - Place des Grandes Rigoles,OUI,22,19,2,1,1,OUI,OUI,2024-01-26T18:41:43+01:00,"48.87403113727167, 2.38959476351738",Paris,
15067,Desaix - Edgar Faure,OUI,12,4,8,6,2,OUI,OUI,2024-01-26T18:44:11+01:00,"48.852804604940296, 2.293077029857222",Paris,
18011,Pajol - Place Herbert,OUI,39,27,12,5,7,OUI,OUI,2024-01-26T18:44:00+01:00,"48.8927825, 2.3635598",Paris,
43401,Gare RER - Canadiens,OUI,45,39,6,2,4,OUI,OUI,2024-01-26T18:44:36+01:00,"48.81995307955795, 2.464176752459464",Joinville-le-Pont,
42706,Roger Salengro - Fontainebleau,OUI,25,20,3,0,3,OUI,OUI,2024-01-26T18:44:03+01:00,"48.814548697325, 2.3611663654447",Le Kremlin-Bicêtre,
6006,Notre-Dame-des-Champs - Stanislas,OUI,19,13,5,4,1,OUI,OUI,2024-01-26T18:43:14+01:00,"48.84479928858768, 2.329337755887181",Paris,
15104,Hôpital Européen Georges Pompidou,OUI,64,27,32,30,2,OUI,OUI,2024-01-26T18:43:57+01:00,"48.83769531916335, 2.275374233722687",Paris,
11027,Saint-Ambroise - Parmentier,OUI,38,23,11,3,8,OUI,OUI,2024-01-26T18:44:47+01:00,"48.862147844548, 2.3772348091006",Paris,
44006,Concorde - Stalingrad,OUI,35,20,15,1,14,OUI,OUI,2024-01-26T18:44:24+01:00,"48.7985844, 2.3821302",Vitry-sur-Seine,
8010,Liège - Moscou,OUI,17,12,4,1,3,OUI,OUI,2024-01-26T18:41:37+01:00,"48.8795431, 2.3264628",Paris,
19120,Carducci - Place Hannah Arendt,OUI,27,27,0,0,0,OUI,OUI,2024-01-26T18:44:14+01:00,"48.877436681515796, 2.3860743641853337",Paris,
46002,Rouget de Lisle,OUI,35,5,29,17,12,OUI,OUI,2024-01-26T18:43:41+01:00,"48.764615483395254, 2.4071189761161804",Choisy-le-Roi,
18003,Cimetière de Montmartre,OUI,42,36,4,3,1,OUI,OUI,2024-01-26T18:43:44+01:00,"48.886472466142, 2.3328901827335",Paris,
10016,Récollets - Square Villemin,OUI,17,11,6,3,3,OUI,OUI,2024-01-26T18:41:06+01:00,"48.875034655883944, 2.359801238597928",Paris,
18031,Place Albert Kahn,OUI,0,0,0,0,0,NON,NON,2023-07-03T10:59:24+02:00,"48.89579697978, 2.3455855841349",Paris,
31009,Place Du Général De Gaulle,OUI,26,26,0,0,0,OUI,OUI,2024-01-26T18:35:29+01:00,"48.8687591, 2.4329931",Montreuil,
